Symbol,Ticker,COMPANY,sector
ADANI ENTERPRISES,ADANIGREEN,ADANI ENTERPRISES,MISCELLANEOUS
ADANI PORTS & SEZ,ADANIPORTS,ADANI PORTS & SEZ,MISCELLANEOUS
APOLLO HOSPITALS,APOLLOHOSP,APOLLO HOSPITALS,MISCELLANEOUS
ASIAN PAINTS,ASIANPAINT,ASIAN PAINTS,PAINTS
AXIS BANK,AXISBANK,AXIS BANK,BANKING
BAJAJ AUTO,BAJAJ-AUTO,BAJAJ AUTO,AUTOMOBILES
BAJAJ FINANCE,BAJFINANCE,BAJAJ FINANCE,FINANCE
BAJAJ FINSERV,BAJAJFINSV,BAJAJ FINSERV,FINANCE
BHARAT ELECTRONICS,BEL,BHARAT ELECTRONICS,DEFENCE
BHARTI AIRTEL,AIRTEL,BHARTI AIRTEL,TELECOM
BPCL,BPCL,BPCL,ENERGY
CIPLA,CIPLA,CIPLA,PHARMACEUTICALS
COAL INDIA,COALINDIA,COAL INDIA,MINING
DR. REDDYS LAB,DRREDDY,DR. REDDYS LAB,PHARMACEUTICALS
EICHER MOTORS,EICHERMOT,EICHER MOTORS,AUTOMOBILES
GRASIM,GRASIM,GRASIM,TEXTILES
HCL TECHNOLOGIES,HCLTECH,HCL TECHNOLOGIES,SOFTWARE
HDFC BANK,HDFCBANK,HDFC BANK,BANKING
HDFC LIFE INSURANCE,HDFCLIFE,HDFC LIFE INSURANCE,INSURANCE
HERO MOTOCORP,HEROMOTOCO,HERO MOTOCORP,AUTOMOBILES
HINDALCO,HINDALCO,HINDALCO,ALUMINIUM
HINDUSTAN UNILEVER,HINDUNILVR,HINDUSTAN UNILEVER,FMCG
ICICI BANK,ICICIBANK,ICICI BANK,BANKING
INDUSIND BANK,INDUSINDBK,INDUSIND BANK,BANKING
INFOSYS,INFY,INFOSYS,SOFTWARE
IOC,IOC,IOC,ENERGY
ITC,ITC,ITC,FOOD & TOBACCO
JSW STEEL,JSWSTEEL,JSW STEEL,STEEL
KOTAK MAHINDRA BANK,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING
L&T,LT,L&T,ENGINEERING
M&M,M&M,M&M,AUTOMOBILES
MARUTI SUZUKI,MARUTI,MARUTI SUZUKI,AUTOMOBILES
NESTLE,NESTLEIND,NESTLE,FOOD & TOBACCO
NTPC,NTPC,NTPC,POWER
ONGC,ONGC,ONGC,ENERGY
POWER GRID,POWERGRID,POWER GRID,POWER
RELIANCE IND.,RELIANCE,RELIANCE IND.,ENERGY
SBI,SBIN,SBI,BANKING
SBI LIFE INSURANCE,SBILIFE,SBI LIFE INSURANCE,INSURANCE
SHRIRAM FINANCE,SHRIRAMFIN,SHRIRAM FINANCE,FINANCE
SUN PHARMA,SUNPHARMA,SUN PHARMA,PHARMACEUTICALS
TATA CONSUMER,TATACONSUMER,TATA CONSUMER,FMCG
TATA MOTORS,TATAMOTORS,TATA MOTORS,AUTOMOBILES
TATA STEEL,TATASTEEL,TATA STEEL,STEEL
TCS,TCS,TCS,SOFTWARE
TECH MAHINDRA,TECHM,TECH MAHINDRA,SOFTWARE
TITAN,TITAN,TITAN,RETAILING
TRENT,TRENT,TRENT,RETAILING
ULTRATECH CEMENT,ULTRACEMCO,ULTRATECH CEMENT,CEMENT
WIPRO,WIPRO,WIPRO,SOFTWARE
